item,frequency,strokes,log10_frequency,mean_rt_ms,median_rt_ms,trials
一,11566.2861,1,4.063193930671582,647.3103448264623,618.10000000149,29
丁,11.4974,2,1.0605996409347418,521.0903703703397,513.02500000014,27
七,229.2365,2,2.3602837689957514,568.0660344827439,553.829999997048,29
万,357.2128,3,2.5529270125618893,554.567758621102,526,29
丈,0.2743,3,-0.5617741923954707,611.7956896555197,545.324999999255,29
三,1836.0044,3,3.2638737176568524,579.2598275859225,551.349999999628,29
上,2923.6323,3,3.4659227512808495,557.1037931033202,523.300000000745,29
下,1472.1572,3,3.167954187343437,587.030535714054,563.27250000136,28
不,18099.3106,4,4.257662032973171,609.8489285716392,567.3875000011469,28
与,908.5026,4,2.9583261745323712,530.2214285717366,527.7699999989125,28
丑,54.9963,4,1.7403334723372368,548.0356896548263,535.094999998808,29
专,9.1327,4,0.9605991917457444,542.8757407404203,520.870000000112,27
且,39.5701,5,1.5973671477993436,581.6708928570341,538.5249999977534,28
世,34.5886,5,1.5389329839692796,563.5148275863136,550.194999999832,29
丘,1.1045,5,0.043165720207453746,573.4610714282212,531.092500001541,28
丙,1.7272,5,0.2373426293261744,575.4439655170914,565.190000001341,29
业,4.9148,5,0.6915058496017965,560.0421428569982,535.8174999996555,28
丛,8.169,5,0.912168896059627,697.7838636375758,643.2050000018205,22
东,41.7346,5,1.6204962554166251,540.0329310347182,529.000000002328,29
丝,54.6701,5,1.7377498682835175,580.5010344830829,571.145000001648,29
丢,84.1364,6,1.9249839256322163,586.5805769234352,557.747500002617,26
两,1332.1127,7,3.1245409687664285,605.1555172418743,578.495000001043,29
严,5.3818,7,0.7309275543511289,589.4065517238992,549.865000001155,29
丧,0.9266,8,-0.0331077041328636,580.1134482752029,593.504999999888,29
个,7638.3617,3,3.883000219708264,632.9429629633368,597.284999999683,27
丫,7.6946,3,0.886186048169057,631.1333333337582,611.095000000205,27
中,1916.2491,4,3.282451963888459,567.4589655172953,521.235000000335,29
丰,7.2572,4,0.860769091897789,603.8766071424991,574.997500000085,28
串,15.4114,7,1.1878420926222057,556.548392857344,543.824999996927,28
临,16.5159,9,1.2179022446567898,598.754655172672,588.200000000186,29
丸,1.7346,3,0.23919934205430146,640.5374999995856,582.2149999985704,28
丹,8.2802,4,0.9180408268630658,577.6459259260198,560.52499999979,27
为,1641.6901,4,3.215291179237659,549.166551724239,525.574999999721,29
主,58.1987,5,1.7649132838056953,587.9001785717571,563.965000001132,28
丽,7.6872,7,0.8857681803754278,581.8401851849221,566.274999997462,27
举,23.8918,9,1.378248870579474,627.7825000000273,582.6174999984215,28
乃,20.0148,2,1.3013512547293902,580.8850000005914,556.254999999946,27
久,244.6405,3,2.3885283556868644,568.5912499996537,553.737500000396,28
么,306.3306,3,2.486190381551498,894.1714999996825,829.6974999995145,20
义,4.0474,3,0.6071761273488958,620.947857142435,589.909999999567,28
之,953.4322,4,2.97928981514522,581.4125862063536,546.699999999255,29
乌,6.5456,4,0.8159494621542985,701.4637037046598,646.005000000529,27
乍,0.4967,5,-0.30390584000477666,627.3531481482127,587.709999999963,27
乎,1.2898,5,0.11052237260132304,542.3906896557561,523.73000000068,29
乏,2.0608,5,0.3140358456797181,590.9694444442915,544.404999999679,27
乐,105.7079,6,2.024107445190113,526.1134482760922,525.800000000047,29
乒,0.089,6,-1.0506099933550872,703.1884615384984,725.8275000005669,26
乔,71.3936,6,1.8536592816744606,605.3371428568267,591.399999999674,28
乖,41.831,8,1.6214982468252108,655.1005357142132,596.002500002098,28
乘,20.0074,10,1.3011906549021588,564.5957407406424,546.685,27
乙,14.1216,1,1.1498839057670986,556.0805172409906,542.284999999218,29
九,72.765,2,1.8619225336817449,598.1803571428941,568.232500001555,28
乞,0.3336,3,-0.4767739580342989,665.3048275854911,607.43499999796,29
也,4713.9214,3,3.673382336815614,612.8649999991455,581.7149999998801,28
习,1.9718,3,0.2948628622779673,573.2432758618224,542.284999999683,29
乡,5.6635,3,0.7530849048466046,551.7498148149741,531.405000001541,27
书,170.7265,4,2.232300937110818,563.4805172411845,538.455000001704,29
买,791.0749,6,2.8982176050105948,559.7542592597763,557.774999999441,27
乱,96.1379,7,1.9828946313315003,561.3212068960662,551.39999999851,29
乳,3.017,8,0.47957531017498845,587.3417857139054,576.1625000003845,28
了,27222.6019,2,4.434929632138779,601.2344827580442,554.000000000116,29
予,3.4915,4,0.5430120463770353,608.3505357140551,588.30500000203,28
争,20.0371,6,1.3018348656415917,591.0687931029566,554.420000000391,29
事,1454.1364,8,3.1626051458551734,618.9058620692991,580.520000002813,29
二,301.5715,2,2.4793902961580208,720.7341071424133,662.132500000531,28
于,233.7139,3,2.3686845425752843,607.8060714286793,530.840000000375,28
亏,14.3365,3,1.1564431390433771,599.4775862067933,560.754999999539,29
云,54.3365,4,1.7350916605882982,542.4587931031866,510.095000005094,29
互,19.8295,4,1.297311763626452,562.2408928568329,554.5999999993944,28
五,518.8584,4,2.7150488520888687,583.1264285717151,540.577499998093,28
井,10.9266,4,1.0384850447539467,616.6605172414727,551.989999999991,29
亘,0.0741,6,-1.1301817920206718,702.2132142856491,655.5075000011129,28
亚,21.0749,6,1.3237655225826055,619.2946551720142,571.220000005327,29
些,304.2847,8,2.483280115773795,590.1287037042656,574.865000002319,27
亟,0.0815,9,-1.0888423912600234,901.3840000003191,828.2549999999115,20
亡,5.0111,3,0.6999330694786281,616.687068965545,562.404999997001,29
交,92.1053,6,1.9642846214512235,577.1722413791263,546.689999999246,29
亦,42.8391,6,1.6318403382303246,586.7985185186963,592.279999999795,27
产,6.7309,6,0.8280731383548738,639.2991379316444,613.675000000745,29
亨,0.4448,7,-0.351835221425999,734.77115384571,707.8124999969145,26
亩,3.4766,7,0.5411547258325471,623.9034482758531,593.240000000224,29
享,43.4025,8,1.637514745755247,726.7794230765822,631.165000001434,26
京,10.8451,8,1.0352335608912875,560.1200000005806,553.7725000012435,28
亭,2.5945,9,0.41405367503094603,603.6829310347556,579.680000002612,29
亮,106.8495,9,2.0287724942329004,545.1981034482883,531.834999999963,29
亲,199.6664,9,2.3003049876432424,613.7748275858588,540.580000000773,29
人,6273.6101,2,3.7975175241353485,536.420357142968,510.7075000002515,28
亿,49.1253,3,1.6913052155554271,609.8858620690254,570.345000000088,29
什,11.6012,4,1.0645029139186368,638.6771999993733,612.569999997504,25
仁,2.6538,4,0.4238681897532474,620.1198076917653,576.622500000638,26
仄,0.0222,4,-1.6536470255493614,713.4363636367805,649.445000000909,22
仅,72.639,4,1.8611698567482806,676.9948000001988,631.144999999553,25
仆,0.7116,4,-0.14776406058811256,765.7774999989894,669.9125000004425,26
仇,4.0993,4,0.6127097025509477,577.6667241376388,551.890000002459,29
今,52.8984,4,1.723442536275645,600.0080357149044,529.9850000011504,28
