char,mean_log_rt,acc_rate,strokes,log_freq,sem_component,sem_log_freq,phon_component,phon_log_freq
一,6.457254776530923,1,1,4.063231477357275,一,4.672741304845728,NA,NA
丁,6.244477912073212,0.9310344827586207,2,1.0968196703598594,一,4.672741304845728,NA,NA
七,6.326650810189921,1,2,2.3621741746022584,一,4.672741304845728,NA,NA
万,6.300331977331404,1,3,2.5541411004132026,一,4.672741304845728,NA,NA
丈,6.381493798579323,1,3,0.10527168310679376,一,4.672741304845728,NA,NA
三,6.348013599387336,1,3,3.2641101965308663,一,4.672741304845728,NA,NA
上,6.303234163233793,1,3,3.46607127208688,一,4.672741304845728,NA,NA
下,6.359916490715242,0.9655172413793104,3,3.168249092701311,一,4.672741304845728,NA,NA
不,6.392063583506276,0.9655172413793104,4,4.257686027394527,一,4.672741304845728,NA,NA
与,6.26465656443261,1,4,2.9588039449212604,一,4.672741304845728,NA,NA
丑,6.28996786701833,1,4,1.7481593316013768,一,4.672741304845728,NA,NA
专,6.286109430925413,0.9310344827586207,4,1.0057251846357056,一,4.672741304845728,NA,NA
且,6.3337301037981915,0.9655172413793104,5,1.6082060781848453,一,4.672741304845728,NA,NA
世,6.325143620014593,1,5,1.5513109038725272,一,4.672741304845728,NA,NA
丘,6.333001774061529,0.9655172413793104,5,0.3231489300840411,一,4.672741304845728,NA,NA
丙,6.345751933091597,1,5,0.4357169882208347,一,4.672741304845728,NA,NA
业,6.320200180587394,0.9655172413793104,5,0.771940064202349,一,4.672741304845728,NA,NA
丛,6.5215271679264895,0.8275862068965517,5,0.9623219727295845,一,4.672741304845728,NA,NA
东,6.282226848346344,1,5,1.6307796432757182,一,4.672741304845728,NA,NA
丝,6.355903118469661,1,5,1.7456220014292518,一,4.672741304845728,NA,NA
丢,6.3497848667261,0.9655172413793104,6,1.9301152820498337,丿,4.002894529347744,NA,NA
两,6.380019949278736,1,7,3.1248668657823306,一,4.672741304845728,NA,NA
严,6.360407017599727,1,7,0.8049431896636015,一,4.672741304845728,NA,NA
丧,6.354380066760667,1,8,0.2847915559501461,一,4.672741304845728,NA,NA
